"Z";"Line Name";"Comment";"line keV";"tube KV";"Filter";"Ref Sample";"Ref Line";"Calib.";"Collimator";"Crystal";"Detector";"2Th-Peak";"2Th-Bkg";"LLD";"ULD"
24;"Cr KA1-ALT-Tr";;5,415;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";106,991;;60;140
24;"Cr KA1-ALT-Tr";"Ca_Nd_karb";5,415;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Tr";"C,D";0,23;"LiF220";"Sci.";106,991;;60;140
24;"Cr KA1-HR-Min";;5,415;60;;"QuantExpress-SQ1";"Mn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";69,319;;50;150
24;"Cr KA1-HR-Min";"L";5,415;50;"Al 200um";"Rekal-MSAN-1";"Cr KA1-HR-Min/L";"D-,*";0,23;"LiF200";"Sci.";"69,392*";68,485;50;150
24;"Cr KA1-HR-Tr";;5,415;60;;"QuantExpress-SQ1";"Mn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";69,319;;60;140
24;"Cr KA1-HS-Min";;5,415;60;;"QuantExpress-SQ1";"Mn KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";69,319;;50;150
24;"Cr KA1-HS-Min";"L";5,415;50;"Al 200um";;;"*";0,23;"LiF200";"Sci.";"69,388*";68,687;50;145
24;"Cr KA1-HS-Tr";;5,415;60;;"QuantExpress-SQ1";"Mn KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";69,319;;60;140
24;"Cr KA1-Maj";;5,415;50;;"QuantExpress-SQ1";"Mn KA1-Maj";"C,D,*";0,23;"LiF200";"Sci.";69,319;;35;300
24;"Cr KA1";"GEO-QUANT";5,415;50;"Al 100um";"DC_AusMon, DC_Herasil";"Cr KA1/GEO-QUANT";"D-";0,23;"LiF220";"Gas";"107,116*";"98,158; 110,182";60;160
24;"Cr KB1-ALT-Min";;5,946;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Min";"C,D,*";0,23;"LiF220";"Sci.";94,125;;50;150
24;"Cr KB1-ALT-Tr";;5,946;60;;"QuantExpress-SQ1";"Mn KA1-ALT-Tr";"C,D,*";0,23;"LiF220";"Sci.";94,125;;60;140
24;"Cr KB1-HR-Min";;5,946;60;;"QuantExpress-SQ1";"Mn KA1-HR-Min";"C,D,*";0,23;"LiF200";"Sci.";62,389;;50;150
24;"Cr KB1-HR-Tr";;5,946;60;;"QuantExpress-SQ1";"Mn KA1-HR-Tr";"C,D,*";0,23;"LiF200";"Sci.";62,389;;60;140
24;"Cr KB1-HS-Min";;5,946;60;;"QuantExpress-SQ1";"Mn KA1-HS-Min";"C,D,*";0,46;"LiF200";"Sci.";62,389;;50;150
24;"Cr KB1-HS-Tr";;5,946;60;;"QuantExpress-SQ1";"Mn KA1-HS-Tr";"C,D,*";0,46;"LiF200";"Sci.";62,389;;60;140
24;"Cr KB1-Maj";;5,946;50;;"QuantExpress-SQ1";"Mn KA1-Maj";"C,D,*";0,23;"LiF200";"Sci.";62,389;;35;300
24;"Cr LA1-HR";;0,573;30;;"QuantExpress-SQ1";"O  KA1-HR";"C,D,*";0,23;"XS-55";"Gas";45,523;;50;150
24;"Cr LA1-HS";;0,573;30;;"QuantExpress-SQ1";"O  KA1-HS";"C,D,*";0,46;"XS-55";"Gas";45,523;;50;150
